NEW	OLD
postcode	Pand_postcode
house_number	Pand_huisnummer
house_number2	Pand_huisnummer_toev
building_code	Pand_gebouwcode
register_date	PandVanMeting_registratiedatum
ecp_hbu_id	EPC_HBU_Id
ecp_cbu_id	EPC_CBU_Id
energy_performance_index	PandVanMeting_energieprestatieindex
certificate_number	Certificaatnummer
energy_consumption_m2	PandVanMeting_energieverbuik_m2
energy_consumption_mj	PandVanMeting_energieverbuik_MJ
electricity_consumption_kwh	PandVanMeting_elektraverbuik_kWh
gas_consumption_m3	PandVanMeting_gasverbuik_m3
heat_consumption_gj	PandVanMeting_warmteverbuik_GJ
co2_consumption_kg	PandVanMeting_CO2verbruik_kg
energy_label	PandVanMeting_energieklasse
city	Gemeente
sbi_number	SBI_nummer
bik_number	BIK_nummer
bik_description	BIK_Beschrijving
rec_postcode	PandvanOpname_postcode
rec_house_number	PandvanOpname_huisnummer
rec_house_number2	PandvanOpname_huisnummer_toev
rec_building_code	PandvanOpname_gebouwcode
property_type	woningtype
primary_last	PrimaryLast
building_type	gebouwtype
