NEW	OLD
responsible	MEETVERANTWOORDELIJKE
operator	NETBEHEERDER
grid	NETGEBIED
street	STRAATNAAM
postcode_from	POSTCODE_VAN
postcode_to	POSTCODE_TOT
place	WOONPLAATS
country_code	LANDCODE
product_type	PRODUCTSOORT
customer	VERBRUIKSSEGMENT
connections	Aantal Aansluitingen
supply_direction	%Leveringsrichting
physical_status	%Fysieke status
connection_nrm	%Defintieve aansl (NRM)
connection_type	%Soort aansluiting
interface_type	Soort aansluiting Naam
sjv	SJV
sjv_low_rate	%SJV laag tarief
smart_meter	%Slimme Meter
avg_counting_wheels	Gemiddeld aantal telwielen
